segment_id,EventId,latitude,longitude,latitudeX,longitudeX,address,point,road,suburb,city,county,state,postcode,country,country_code
DRFEFT4,147991,-34.0103921607,18.6237792673,-34.01,18.624,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec00b22d0>,"{'place_id': 217346047, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 651224169, 'lat': '-34.0099357952616', 'lon': '18.623937629721723', 'display_name': 'Cape Flats Freeway, Cape Town Ward 35, Mitchells Plain, City of Cape Town, Western Cape, 7100, South Africa', 'address': {'road': 'Cape Flats Freeway', 'suburb': 'Cape Town Ward 35', 'town': 'Mitchells Plain', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7100', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-34.0119766', '-34.0074105', '18.6218368', '18.6265372']}",Cape Flats Freeway,Cape Town Ward 35,,City of Cape Town,Western Cape,7100,South Africa,za
5HTE1IC,147992,-33.8376105959,18.5369228477,-33.838,18.537,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbbc2d90>,"{'place_id': 185883685, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 449113462, 'lat': '-33.837923609710934', 'lon': '18.536801028137727', 'display_name': 'N7, Richwood, Cape Town, City of Cape Town, Western Cape, 7441, South Africa', 'address': {'road': 'N7', 'suburb': 'Richwood', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7441', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8413319', '-33.8164932', '18.5354925', '18.5450287']}",N7,Richwood,Cape Town,City of Cape Town,Western Cape,7441,South Africa,za
9PORL0H,147996,-34.014417561100004,18.6192877437,-34.014,18.619,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbbc2a50>,"{'place_id': 111429865, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 110451724, 'lat': '-34.01410106681506', 'lon': '18.619094481934717', 'display_name': 'Dyakalashe Road, Cape Town Ward 35, Mitchells Plain, City of Cape Town, Western Cape, 7785, South Africa', 'address': {'road': 'Dyakalashe Road', 'suburb': 'Cape Town Ward 35', 'town': 'Mitchells Plain', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7785', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-34.0147216', '-34.0138834', '18.6156879', '18.6192887']}",Dyakalashe Road,Cape Town Ward 35,,City of Cape Town,Western Cape,7785,South Africa,za
92BILMX,148000,-33.8841779188,18.6747695128,-33.884,18.675,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbe6add0>,"{'place_id': 80276811, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4317074, 'lat': '-33.88407424658597', 'lon': '18.6747476828885', 'display_name': 'Kuils River Freeway, Cape Town Ward 8, Brackenfell, City of Cape Town, Western Cape, 7560, South Africa', 'address': {'road': 'Kuils River Freeway', 'suburb': 'Cape Town Ward 8', 'town': 'Brackenfell', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7560', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8897071', '-33.8814212', '18.673967', '18.6764035']}",Kuils River Freeway,Cape Town Ward 8,,City of Cape Town,Western Cape,7560,South Africa,za
G850GMA,148017,-33.833810757399995,18.7419330416,-33.834,18.742,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbe6ab50>,"{'place_id': 81608977, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4315627, 'lat': '-33.8338187343136', 'lon': '18.741949520218142', 'display_name': 'N1, Cape Town Ward 101, Stellenbosch Local Municipality, City of Cape Town, Western Cape, 7570, South Africa', 'address': {'road': 'N1', 'suburb': 'Cape Town Ward 101', 'city': 'Stellenbosch Local Municipality', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7570', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8384734', '-33.798667', '18.7261517', '18.8706849']}",N1,Cape Town Ward 101,Stellenbosch Local Municipality,City of Cape Town,Western Cape,7570,South Africa,za
MRHTO2C,148022,-34.058439725700005,18.7926334686,-34.058,18.793,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbf0a290>,"{'place_id': 131233306, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 186816284, 'lat': '-34.057885845194185', 'lon': '18.793000183381217', 'display_name': 'Eike Avenue, Cape Town Ward 15, Somerset West, City of Cape Town, Western Cape, 7130, South Africa', 'address': {'road': 'Eike Avenue', 'suburb': 'Cape Town Ward 15', 'town': 'Somerset West', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7130', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-34.0578859', '-34.0576456', '18.787418', '18.7930838']}",Eike Avenue,Cape Town Ward 15,,City of Cape Town,Western Cape,7130,South Africa,za
0QQIE2L,148057,-34.0057339123,18.6286760877,-34.006,18.629,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec5788390>,"{'place_id': 82176274, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 5054207, 'lat': '-34.005658803357356', 'lon': '18.6286667323208', 'display_name': 'Cape Flats Freeway, Cape Town Ward 18, Mitchells Plain, City of Cape Town, Western Cape, 7100, South Africa', 'address': {'road': 'Cape Flats Freeway', 'suburb': 'Cape Town Ward 18', 'town': 'Mitchells Plain', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7100', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-34.0165952', '-34.0027157', '18.6158722', '18.6316942']}",Cape Flats Freeway,Cape Town Ward 18,,City of Cape Town,Western Cape,7100,South Africa,za
XZZ3D4U,148096,-33.8143707558,18.5454759958,-33.814,18.545,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbc1a090>,"{'place_id': 223033326, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 693274088, 'lat': '-33.81397138925246', 'lon': '18.54506255701287', 'display_name': 'Du Noon, Cape Town, City of Cape Town, Western Cape, 7441, South Africa', 'address': {'suburb': 'Du Noon', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7441', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8142478', '-33.8128392', '18.5449132', '18.5456012']}",,Du Noon,Cape Town,City of Cape Town,Western Cape,7441,South Africa,za
JY8VL6C,148103,-33.9445098095,18.4871679702,-33.945,18.487,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbc1a110>,"{'place_id': 170982363, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 359665223, 'lat': '-33.944750337613286', 'lon': '18.48734372123938', 'display_name': 'Settlers Way, Mowbray, Cape Town, City of Cape Town, Western Cape, 7925, South Africa', 'address': {'road': 'Settlers Way', 'suburb': 'Mowbray', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7925', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.9458122', '-33.9440776', '18.4866281', '18.487978']}",Settlers Way,Mowbray,Cape Town,City of Cape Town,Western Cape,7925,South Africa,za
JY8VL6C,148109,-33.9454827797,18.4879900853,-33.945,18.488,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbe42250>,"{'place_id': 167840349, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 359665213, 'lat': '-33.94511686240188', 'lon': '18.487801046783005', 'display_name': 'Settlers Way, Mowbray, Cape Town, City of Cape Town, Western Cape, 7925, South Africa', 'address': {'road': 'Settlers Way', 'suburb': 'Mowbray', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7925', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.9512922', '-33.9442556', '18.4871804', '18.4990644']}",Settlers Way,Mowbray,Cape Town,City of Cape Town,Western Cape,7925,South Africa,za
RZK0UM0,148112,-33.8625126254,18.6886510102,-33.863,18.689,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbc1ab10>,"{'place_id': 96116247, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 34907884, 'lat': '-33.863077604114814', 'lon': '18.689050480464882', 'display_name': 'Boog Street, Cape Town Ward 102, Brackenfell, City of Cape Town, Western Cape, 7561, South Africa', 'address': {'road': 'Boog Street', 'suburb': 'Cape Town Ward 102', 'town': 'Brackenfell', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7561', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8636548', '-33.8612316', '18.6880258', '18.6920255']}",Boog Street,Cape Town Ward 102,,City of Cape Town,Western Cape,7561,South Africa,za
E4L0I98,148139,-33.8084649963,18.8319306911,-33.808,18.832,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbe425d0>,"{'place_id': 79376577, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4315620, 'lat': '-33.80842164246462', 'lon': '18.832117780401994', 'display_name': 'N1, Stellenbosch Ward 18, Stellenbosch Local Municipality, City of Cape Town, Western Cape, 7570, South Africa', 'address': {'road': 'N1', 'suburb': 'Stellenbosch Ward 18', 'city': 'Stellenbosch Local Municipality', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7570', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8382785', '-33.7984726', '18.7260551', '18.8706218']}",N1,Stellenbosch Ward 18,Stellenbosch Local Municipality,City of Cape Town,Western Cape,7570,South Africa,za
UAXX1ZE,148153,-33.808588106,18.8322287921,-33.809,18.832,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbe42350>,"{'place_id': 81608977, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4315627, 'lat': '-33.808681630299674', 'lon': '18.831910938454023', 'display_name': 'N1, Cape Town Ward 101, Stellenbosch Local Municipality, City of Cape Town, Western Cape, 7570, South Africa', 'address': {'road': 'N1', 'suburb': 'Cape Town Ward 101', 'city': 'Stellenbosch Local Municipality', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7570', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8384734', '-33.798667', '18.7261517', '18.8706849']}",N1,Cape Town Ward 101,Stellenbosch Local Municipality,City of Cape Town,Western Cape,7570,South Africa,za
LO1OZJ0,148163,-33.9411528752,18.4579764376,-33.941,18.458,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbc08e10>,"{'place_id': 93501788, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 30065805, 'lat': '-33.94102441081765', 'lon': '18.457952184996376', 'display_name': 'De Waal Drive, Cape Town Ward 57, Cape Town, City of Cape Town, Western Cape, 7925, South Africa', 'address': {'road': 'De Waal Drive', 'suburb': 'Cape Town Ward 57', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7925', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.9412697', '-33.9404285', '18.4574102', '18.458045']}",De Waal Drive,Cape Town Ward 57,Cape Town,City of Cape Town,Western Cape,7925,South Africa,za
DCB3LQM,148177,-33.9434846283,18.4837758027,-33.943,18.484,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbc4c610>,"{'place_id': 235518052, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1998103, 'lat': '-33.9417434', 'lon': '18.485155748110706', 'display_name': 'Black River, Settlers Way, Hazendal, Cape Town, City of Cape Town, Western Cape, 7450, South Africa', 'address': {'water': 'Black River', 'road': 'Settlers Way', 'suburb': 'Hazendal', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7450', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.9534447', '-33.929798', '18.4781401', '18.5130427']}",Settlers Way,Hazendal,Cape Town,City of Cape Town,Western Cape,7450,South Africa,za
XBYNXP7,148191,-33.823694905,18.7774453798,-33.824,18.777,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbc4cf10>,"{'place_id': 81608977, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4315627, 'lat': '-33.82400389488077', 'lon': '18.777001069312465', 'display_name': 'N1, Cape Town Ward 101, Stellenbosch Local Municipality, City of Cape Town, Western Cape, 7570, South Africa', 'address': {'road': 'N1', 'suburb': 'Cape Town Ward 101', 'city': 'Stellenbosch Local Municipality', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7570', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8384734', '-33.798667', '18.7261517', '18.8706849']}",N1,Cape Town Ward 101,Stellenbosch Local Municipality,City of Cape Town,Western Cape,7570,South Africa,za
LV4XGT5,148195,-33.9413276177,18.4833932173,-33.941,18.483,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbc60a90>,"{'place_id': 188451990, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 450670933, 'lat': '-33.94113587235085', 'lon': '18.48333392715285', 'display_name': 'Black River Parkway, Observatory, Cape Town, City of Cape Town, Western Cape, 7925, South Africa', 'address': {'road': 'Black River Parkway', 'suburb': 'Observatory', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7925', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.9414429', '-33.9411266', '18.483209', '18.4833377']}",Black River Parkway,Observatory,Cape Town,City of Cape Town,Western Cape,7925,South Africa,za
OFAXGKF,148196,-33.940720135300005,18.4568045019,-33.941,18.457,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbc60290>,"{'place_id': 94339654, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 30065802, 'lat': '-33.940407944842356', 'lon': '18.457378674872572', 'display_name': 'De Waal Drive, Cape Town Ward 57, Cape Town, City of Cape Town, Western Cape, 7925, South Africa', 'address': {'road': 'De Waal Drive', 'suburb': 'Cape Town Ward 57', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7925', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.9404285', '-33.9399524', '18.4547313', '18.4574102']}",De Waal Drive,Cape Town Ward 57,Cape Town,City of Cape Town,Western Cape,7925,South Africa,za
JZGFZ7Z,148197,-33.8836227752,18.6743761935,-33.884,18.674,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57844d0>,"{'place_id': 78993923, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4317073, 'lat': '-33.883865323614415', 'lon': '18.67445007421315', 'display_name': 'Kuils River Freeway, Cape Town Ward 3, Bellville, City of Cape Town, Western Cape, 7560, South Africa', 'address': {'road': 'Kuils River Freeway', 'suburb': 'Cape Town Ward 3', 'town': 'Bellville', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7560', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8866095', '-33.8792651', '18.6730105', '18.6752709']}",Kuils River Freeway,Cape Town Ward 3,,City of Cape Town,Western Cape,7560,South Africa,za
B9V4IAJ,148212,-33.8825612129,18.645410821,-33.883,18.645,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbe9a990>,"{'place_id': 233234880, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 739914475, 'lat': '-33.88297613377322', 'lon': '18.644989820973215', 'display_name': 'N1, Cape Town Ward 3, Bellville, City of Cape Town, Western Cape, 7530, South Africa', 'address': {'road': 'N1', 'suburb': 'Cape Town Ward 3', 'town': 'Bellville', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7530', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8842873', '-33.8798973', '18.6419147', '18.6522086']}",N1,Cape Town Ward 3,,City of Cape Town,Western Cape,7530,South Africa,za
XPEXW89,148215,-34.079973285,18.8240018928,-34.08,18.824,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbd772d0>,"{'place_id': 169673747, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 361482179, 'lat': '-34.0799899948894', 'lon': '18.82400913525566', 'display_name': 'N2, Paardevlei, Cape Town Ward 15, Somerset West, City of Cape Town, Western Cape, 7130, South Africa', 'address': {'road': 'N2', 'neighbourhood': 'Paardevlei', 'suburb': 'Cape Town Ward 15', 'town': 'Somerset West', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7130', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-34.0801387', '-34.0604926', '18.7968497', '18.824172']}",N2,Cape Town Ward 15,,City of Cape Town,Western Cape,7130,South Africa,za
M223F8G,148241,-33.9364482249,18.4518933728,-33.936,18.452,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbc60d90>,"{'place_id': 231992250, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 739627954, 'lat': '-33.93601936388219', 'lon': '18.451994228906916', 'display_name': 'Devonshire Street, Cape Town Ward 57, Cape Town, City of Cape Town, Western Cape, 7925, South Africa', 'address': {'road': 'Devonshire Street', 'suburb': 'Cape Town Ward 57', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7925', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.9363688', '-33.9359959', '18.4519155', '18.4531667']}",Devonshire Street,Cape Town Ward 57,Cape Town,City of Cape Town,Western Cape,7925,South Africa,za
