segment_id,EventId,latitude,longitude,latitudeX,longitudeX,address,point,road,suburb,town,county,state,postcode,country,country_code
S9PC5LR,61533,-33.7427700442,19.0656233039,-33.743,19.066,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec4d0ad10>,"{'place_id': 168502509, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 363339037, 'lat': '-33.74277700026028', 'lon': '19.065678880374804', 'display_name': 'N1, Drakenstein Ward 28, Drakenstein Local Municipality, Cape Winelands District Municipality, Western Cape, 7620, South Africa', 'address': {'road': 'N1', 'suburb': 'Drakenstein Ward 28', 'city': 'Drakenstein Local Municipality', 'county': 'Cape Winelands District Municipality', 'state': 'Western Cape', 'postcode': '7620', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.7434986', '-33.7409252', '19.0651049', '19.0667612']}",N1,Drakenstein Ward 28,,Cape Winelands District Municipality,Western Cape,7620,South Africa,za
UUZT4OE,61608,-34.02666,18.68965,-34.027,18.69,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec4d0a450>,"{'place_id': 229913833, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 742351769, 'lat': '-34.026813651945716', 'lon': '18.689600109857953', 'display_name': 'Spine Road, Cape Town Ward 93, Khayelitsha, City of Cape Town, Western Cape, 7784, South Africa', 'address': {'road': 'Spine Road', 'suburb': 'Cape Town Ward 93', 'town': 'Khayelitsha', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7784', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-34.026992', '-34.0266729', '18.689517', '18.6896657']}",Spine Road,Cape Town Ward 93,Khayelitsha,City of Cape Town,Western Cape,7784,South Africa,za
16WNX7T,61742,-34.083507746399995,18.8284593837,-34.084,18.828,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57b9150>,"{'place_id': 51310889, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4173977717, 'lat': '-34.0846846', 'lon': '18.8283917', 'display_name': 'Mr Price Sport, Somerset West Bypass, Paardevlei, Cape Town Ward 15, Somerset West, City of Cape Town, Western Cape, 7130, South Africa', 'address': {'clothes': 'Mr Price Sport', 'address26': 'Somerset West Bypass', 'neighbourhood': 'Paardevlei', 'suburb': 'Cape Town Ward 15', 'town': 'Somerset West', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7130', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-34.0847846', '-34.0845846', '18.8282917', '18.8284917']}",,Cape Town Ward 15,Somerset West,City of Cape Town,Western Cape,7130,South Africa,za
47SP0JH,61757,-34.1242864879,18.8898799452,-34.124,18.89,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57b1950>,"{'place_id': 170578801, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 356740845, 'lat': '-34.124194295119445', 'lon': '18.88993500435652', 'display_name': ""N2, Mission Grounds, Cape Town Ward 84, Sir Lowry's Pass, City of Cape Town, Western Cape, 7140, South Africa"", 'address': {'road': 'N2', 'neighbourhood': 'Mission Grounds', 'suburb': 'Cape Town Ward 84', 'village': ""Sir Lowry's Pass"", 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7140', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-34.1243464', '-34.1241585', '18.889828', '18.8903897']}",N2,Cape Town Ward 84,,City of Cape Town,Western Cape,7140,South Africa,za
0GZ5KS3,62010,-33.9020619531,18.506721987,-33.902,18.507,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57b1110>,"{'place_id': 121163047, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 150969597, 'lat': '-33.90263302647405', 'lon': '18.50758346191726', 'display_name': 'N1, Cape Town Ward 56, Cape Town, City of Cape Town, Western Cape, 14, South Africa', 'address': {'road': 'N1', 'suburb': 'Cape Town Ward 56', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '14', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.9043292', '-33.9007447', '18.5057432', '18.5096322']}",N1,Cape Town Ward 56,,City of Cape Town,Western Cape,14,South Africa,za
SPPGKO2,62378,-33.857480759699996,18.5309396062,-33.857,18.531,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57a86d0>,"{'place_id': 186346427, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 449113457, 'lat': '-33.85700690588569', 'lon': '18.531036838574746', 'display_name': 'N7, Milnerton, Cape Town, City of Cape Town, Western Cape, 7441, South Africa', 'address': {'road': 'N7', 'suburb': 'Milnerton', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7441', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8679199', '-33.8548963', '18.5294725', '18.5314325']}",N7,Milnerton,,City of Cape Town,Western Cape,7441,South Africa,za
GH5QX19,62656,-34.071261661,18.8147643011,-34.071,18.815,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57b10d0>,"{'place_id': 80311307, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4288156, 'lat': '-34.07127068080731', 'lon': '18.814762844992625', 'display_name': 'N2, Cape Town Ward 15, Somerset West, City of Cape Town, Western Cape, 7130, South Africa', 'address': {'road': 'N2', 'suburb': 'Cape Town Ward 15', 'town': 'Somerset West', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7130', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-34.0726267', '-34.060069', '18.7966289', '18.8162614']}",N2,Cape Town Ward 15,Somerset West,City of Cape Town,Western Cape,7130,South Africa,za
WLFBY9T,62737,-33.8737270427,18.6693389482,-33.874,18.669,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57ac150>,"{'place_id': 95589782, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 34817603, 'lat': '-33.8746073', 'lon': '18.668785', 'display_name': 'Fennel Crescent, Cape Town Ward 3, Bellville, City of Cape Town, Western Cape, 7560, South Africa', 'address': {'road': 'Fennel Crescent', 'suburb': 'Cape Town Ward 3', 'town': 'Bellville', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7560', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8778957', '-33.8745441', '18.6672393', '18.669319']}",Fennel Crescent,Cape Town Ward 3,Bellville,City of Cape Town,Western Cape,7560,South Africa,za
5PYA0N2,62782,-34.0245010245,18.6854947061,-34.025,18.685,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57ac910>,"{'place_id': 81304260, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4287835, 'lat': '-34.02441462399458', 'lon': '18.685232153794733', 'display_name': 'N2, Cape Town Ward 96, Khayelitsha, City of Cape Town, Western Cape, 7784, South Africa', 'address': {'road': 'N2', 'suburb': 'Cape Town Ward 96', 'town': 'Khayelitsha', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7784', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-34.0374769', '-34.0207364', '18.6764588', '18.7183792']}",N2,Cape Town Ward 96,Khayelitsha,City of Cape Town,Western Cape,7784,South Africa,za
H9XYX9Q,62797,-33.9464959553,18.4885981813,-33.946,18.489,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57b3190>,"{'place_id': 173062858, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 369733701, 'lat': '-33.9461507040537', 'lon': '18.489036461538525', 'display_name': 'Raapenberg Road, Observatory, Cape Town, City of Cape Town, Western Cape, 7925, South Africa', 'address': {'road': 'Raapenberg Road', 'suburb': 'Observatory', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7925', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.9462346', '-33.9459133', '18.4886897', '18.4899847']}",Raapenberg Road,Observatory,,City of Cape Town,Western Cape,7925,South Africa,za
PDDTLDP,62935,-33.8585444569,18.695776186,-33.859,18.696,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57b3a50>,"{'place_id': 91943210, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 23179591, 'lat': '-33.85884324423776', 'lon': '18.696327360837905', 'display_name': 'Okavango Road, Cape Town Ward 102, Brackenfell, City of Cape Town, Western Cape, 7561, South Africa', 'address': {'road': 'Okavango Road', 'suburb': 'Cape Town Ward 102', 'town': 'Brackenfell', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7561', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8630809', '-33.8583254', '18.6960446', '18.6991021']}",Okavango Road,Cape Town Ward 102,Brackenfell,City of Cape Town,Western Cape,7561,South Africa,za
QDRC5UW,63104,-33.8934429309,18.6775106764,-33.893,18.678,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec0d93cd0>,"{'place_id': 80541025, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4317155, 'lat': '-33.8931482600747', 'lon': '18.677425350307697', 'display_name': 'Kuils River Freeway, Cape Town Ward 8, Bellville, City of Cape Town, Western Cape, 7580, South Africa', 'address': {'road': 'Kuils River Freeway', 'suburb': 'Cape Town Ward 8', 'town': 'Bellville', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7580', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.9012925', '-33.8903779', '18.676203', '18.6777734']}",Kuils River Freeway,Cape Town Ward 8,Bellville,City of Cape Town,Western Cape,7580,South Africa,za
LUOEP7G,63178,-33.9024426917,18.6753073153,-33.902,18.675,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec4d076d0>,"{'place_id': 212138397, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 626298428, 'lat': '-33.90296195', 'lon': '18.673587299048698', 'display_name': 'Cape Town Ward 3, Bellville, City of Cape Town, Western Cape, South Africa', 'address': {'suburb': 'Cape Town Ward 3', 'town': 'Bellville', 'county': 'City of Cape Town', 'state': 'Western Cape', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.9048559', '-33.9004009', '18.6722598', '18.6756719']}",,Cape Town Ward 3,Bellville,City of Cape Town,Western Cape,,South Africa,za
I2POO7A,63216,-33.9522984968,18.4657207516,-33.952,18.466,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57b4710>,"{'place_id': 157605, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 30941070, 'lat': '-33.9521276', 'lon': '18.4661971', 'display_name': ""Mostert's Mill, Rhodes Drive, Rosebank, Cape Town, City of Cape Town, Western Cape, 7705, South Africa"", 'address': {'address29': ""Mostert's Mill"", 'road': 'Rhodes Drive', 'suburb': 'Rosebank', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7705', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.9522276', '-33.9520276', '18.4660971', '18.4662971']}",Rhodes Drive,Rosebank,,City of Cape Town,Western Cape,7705,South Africa,za
DVQD3DE,63277,-34.1274911609,18.9335444327,-34.127,18.934,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57b4350>,"{'place_id': 80473172, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4772284, 'lat': '-34.1275226', 'lon': '18.9335822', 'display_name': ""N2, Cape Town Ward 84, Sir Lowry's Pass, City of Cape Town, Western Cape, South Africa"", 'address': {'road': 'N2', 'suburb': 'Cape Town Ward 84', 'village': ""Sir Lowry's Pass"", 'county': 'City of Cape Town', 'state': 'Western Cape', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-34.1435008', '-34.1270239', '18.9299558', '18.9374305']}",N2,Cape Town Ward 84,,City of Cape Town,Western Cape,,South Africa,za
7O594ZJ,63285,-34.0722917416,18.8155366383,-34.072,18.816,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57b47d0>,"{'place_id': 80311307, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4288156, 'lat': '-34.07221248533092', 'lon': '18.81580651327752', 'display_name': 'N2, Cape Town Ward 15, Somerset West, City of Cape Town, Western Cape, 7130, South Africa', 'address': {'road': 'N2', 'suburb': 'Cape Town Ward 15', 'town': 'Somerset West', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7130', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-34.0726267', '-34.060069', '18.7966289', '18.8162614']}",N2,Cape Town Ward 15,Somerset West,City of Cape Town,Western Cape,7130,South Africa,za
RB56HQI,63666,-33.8169882196,18.8014484063,-33.817,18.801,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57aab90>,"{'place_id': 79376577, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4315620, 'lat': '-33.817105743309746', 'lon': '18.801029538034175', 'display_name': 'N1, Stellenbosch Ward 18, Stellenbosch Local Municipality, City of Cape Town, Western Cape, 7570, South Africa', 'address': {'road': 'N1', 'suburb': 'Stellenbosch Ward 18', 'city': 'Stellenbosch Local Municipality', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7570', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8382785', '-33.7984726', '18.7260551', '18.8706218']}",N1,Stellenbosch Ward 18,,City of Cape Town,Western Cape,7570,South Africa,za
RO046L9,63910,-33.821464377699996,18.7854128416,-33.821,18.785,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57b4b10>,"{'place_id': 79376577, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4315620, 'lat': '-33.821545685571955', 'lon': '18.785151763299307', 'display_name': 'N1, Stellenbosch Ward 18, Stellenbosch Local Municipality, City of Cape Town, Western Cape, 7570, South Africa', 'address': {'road': 'N1', 'suburb': 'Stellenbosch Ward 18', 'city': 'Stellenbosch Local Municipality', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7570', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8382785', '-33.7984726', '18.7260551', '18.8706218']}",N1,Stellenbosch Ward 18,,City of Cape Town,Western Cape,7570,South Africa,za
8SB405D,63926,-33.8493911881,18.7084969033,-33.849,18.708,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57b8290>,"{'place_id': 95958607, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 35917667, 'lat': '-33.84921751734874', 'lon': '18.707902466306955', 'display_name': 'Selbourne Road, Cape Town Ward 102, Kraaifontein, City of Cape Town, Western Cape, 7561, South Africa', 'address': {'road': 'Selbourne Road', 'suburb': 'Cape Town Ward 102', 'town': 'Kraaifontein', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7561', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.849316', '-33.8461735', '18.7010753', '18.7081221']}",Selbourne Road,Cape Town Ward 102,Kraaifontein,City of Cape Town,Western Cape,7561,South Africa,za
ZT6MOAL,63932,-33.8759820765,18.5302264752,-33.876,18.53,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57b0590>,"{'place_id': 202370214, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 539991547, 'lat': '-33.87597558136803', 'lon': '18.530233142957528', 'display_name': 'N7, Summer Greens, Cape Town, City of Cape Town, Western Cape, 2251, South Africa', 'address': {'road': 'N7', 'suburb': 'Summer Greens', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '2251', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8775706', '-33.8731815', '18.5299405', '18.5304002']}",N7,Summer Greens,,City of Cape Town,Western Cape,2251,South Africa,za
I6G60AH,63955,-33.7452582333,18.9995716964,-33.745,19.0,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57b03d0>,"{'place_id': 79361921, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4770948, 'lat': '-33.74496626686004', 'lon': '18.999975641248177', 'display_name': 'N1, Drakenstein Ward 27, Drakenstein Local Municipality, Cape Winelands District Municipality, Western Cape, 7646, South Africa', 'address': {'road': 'N1', 'suburb': 'Drakenstein Ward 27', 'city': 'Drakenstein Local Municipality', 'county': 'Cape Winelands District Municipality', 'state': 'Western Cape', 'postcode': '7646', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.7573913', '-33.7412006', '18.9827898', '19.0122025']}",N1,Drakenstein Ward 27,,Cape Winelands District Municipality,Western Cape,7646,South Africa,za
ULMQMUT,64213,-33.7974885923,18.8763905588,-33.797,18.876,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57b7610>,"{'place_id': 85795997, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 13755670, 'lat': '-33.79753668691351', 'lon': '18.876089182366993', 'display_name': 'N1, Stellenbosch Ward 18, Stellenbosch Local Municipality, Cape Winelands District Municipality, Western Cape, 7089, South Africa', 'address': {'road': 'N1', 'suburb': 'Stellenbosch Ward 18', 'city': 'Stellenbosch Local Municipality', 'county': 'Cape Winelands District Municipality', 'state': 'Western Cape', 'postcode': '7089', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.7984478', '-33.7756672', '18.8707728', '18.9574603']}",N1,Stellenbosch Ward 18,,Cape Winelands District Municipality,Western Cape,7089,South Africa,za
